model_a,model_b,suite,n_tasks,mean_diff,ci_low,ci_high,p_value
Salesforce__SFR-Embedding-2_R,Alibaba-NLP__gte-Qwen2-1.5B-instruct,lifted,7,0.0321,0.0042,0.0578,0.0356
Alibaba-NLP__gte-Qwen2-1.5B-instruct,Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.0759,0.0144,0.1421,0.0148
Alibaba-NLP__gte-Qwen2-1.5B-instruct,abhinand__MedEmbed-base-v0.1,lifted,7,0.0568,0.0097,0.1076,0.0206
Alibaba-NLP__gte-Qwen2-1.5B-instruct,abhinand__MedEmbed-large-v0.1,lifted,7,0.0584,0.0042,0.1156,0.0314
Alibaba-NLP__gte-Qwen2-1.5B-instruct,abhinand__MedEmbed-small-v0.1,lifted,7,0.0528,0.0021,0.108,0.0416
bflhc__Octen-Embedding-8B,Alibaba-NLP__gte-Qwen2-1.5B-instruct,lifted,7,0.0369,0.0166,0.0571,0.0002
codefuse-ai__F2LLM-v2-0.6B,Alibaba-NLP__gte-Qwen2-1.5B-instruct,lifted,7,0.0057,-0.0846,0.0622,0.7234
codefuse-ai__F2LLM-v2-1.7B,Alibaba-NLP__gte-Qwen2-1.5B-instruct,lifted,7,0.0253,-0.0705,0.0928,0.4922
codefuse-ai__F2LLM-v2-14B,Alibaba-NLP__gte-Qwen2-1.5B-instruct,lifted,7,0.0191,-0.0814,0.0868,0.5668
codefuse-ai__F2LLM-v2-4B,Alibaba-NLP__gte-Qwen2-1.5B-instruct,lifted,7,0.0165,-0.0763,0.0778,0.56
codefuse-ai__F2LLM-v2-8B,Alibaba-NLP__gte-Qwen2-1.5B-instruct,lifted,7,0.0188,-0.0797,0.0874,0.5756
Alibaba-NLP__gte-Qwen2-1.5B-instruct,deepseek-r1,lifted,7,0.1168,0.0325,0.2027,0.0044
Alibaba-NLP__gte-Qwen2-1.5B-instruct,deepseek__deepseek-v4-flash,lifted,7,0.1251,0.0439,0.2165,0.0008
Alibaba-NLP__gte-Qwen2-1.5B-instruct,glm-4.7,lifted,7,0.0838,0.0093,0.1677,0.0262
google__embeddinggemma-300m,Alibaba-NLP__gte-Qwen2-1.5B-instruct,lifted,7,0.0086,-0.0037,0.0202,0.168
Alibaba-NLP__gte-Qwen2-1.5B-instruct,google__gemini-3-flash-preview,lifted,7,0.0207,-0.0422,0.1128,0.6976
Alibaba-NLP__gte-Qwen2-1.5B-instruct,google__gemini-3.1-flash-lite-preview,lifted,7,0.176,0.0264,0.3237,0.0258
google__gemini-3.1-pro-preview,Alibaba-NLP__gte-Qwen2-1.5B-instruct,lifted,7,0.0505,0.0169,0.0874,0.0008
Alibaba-NLP__gte-Qwen2-1.5B-instruct,intfloat__e5-mistral-7b-instruct,lifted,7,0.1723,0.1142,0.2327,0.0
Alibaba-NLP__gte-Qwen2-1.5B-instruct,intfloat__multilingual-e5-base,lifted,7,0.0945,0.0269,0.1692,0.0056
Alibaba-NLP__gte-Qwen2-1.5B-instruct,intfloat__multilingual-e5-large,lifted,7,0.0775,0.0178,0.1507,0.0078
Alibaba-NLP__gte-Qwen2-1.5B-instruct,intfloat__multilingual-e5-large-instruct,lifted,7,0.0298,-0.0191,0.0936,0.3184
Alibaba-NLP__gte-Qwen2-1.5B-instruct,intfloat__multilingual-e5-small,lifted,7,0.0936,0.0318,0.1599,0.0012
